YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,1,10,14,653.14
2010,1,10,15,480.95
2010,1,10,16,262.9
2010,1,10,17,51.23
2010,1,10,18,0
2010,1,10,19,0
2010,1,10,20,0
2010,1,10,21,0
2010,1,10,22,0
2010,1,10,23,0
2010,1,11,0,0
2010,1,11,1,0
2010,1,11,2,0
2010,1,11,3,0
2010,1,11,4,0
2010,1,11,5,0
2010,1,11,6,0
2010,1,11,7,136.84
2010,1,11,8,350.49
2010,1,11,9,552.34
2010,1,11,10,699.7
2010,1,11,11,705.16
2010,1,11,12,637.47
2010,1,11,13,656.87
2010,1,11,14,494.23
2010,1,11,15,368.84
2010,1,11,16,216.94
2010,1,11,17,45.67
2010,1,11,18,0
2010,1,11,19,0
2010,1,11,20,0
2010,1,11,21,0
2010,1,11,22,0
2010,1,11,23,0
2010,1,12,0,0
2010,1,12,1,0
2010,1,12,2,0
2010,1,12,3,0
2010,1,12,4,0
2010,1,12,5,0
2010,1,12,6,0
2010,1,12,7,119.77
2010,1,12,8,323.05
2010,1,12,9,522.13
2010,1,12,10,685.64
2010,1,12,11,776.06
2010,1,12,12,807.04
2010,1,12,13,754.39
2010,1,12,14,619.97
2010,1,12,15,438.52
2010,1,12,16,223.36
2010,1,12,17,43.52
2010,1,12,18,0
2010,1,12,19,0
2010,1,12,20,0
2010,1,12,21,0
2010,1,12,22,0
2010,1,12,23,0
2010,1,13,0,0
2010,1,13,1,0
2010,1,13,2,0
2010,1,13,3,0
2010,1,13,4,0
2010,1,13,5,0
2010,1,13,6,0
2010,1,13,7,118.66
2010,1,13,8,318.1
2010,1,13,9,518.23
2010,1,13,10,671.5
2010,1,13,11,760.8
2010,1,13,12,660.21
2010,1,13,13,764.94
2010,1,13,14,638.06
2010,1,13,15,457.01
2010,1,13,16,243.75
2010,1,13,17,47.8
2010,1,13,18,0
2010,1,13,19,0
2010,1,13,20,0
2010,1,13,21,0
2010,1,13,22,0
2010,1,13,23,0
2010,1,14,0,0
2010,1,14,1,0
2010,1,14,2,0
2010,1,14,3,0
2010,1,14,4,0
2010,1,14,5,0
2010,1,14,6,0
2010,1,14,7,125.24
2010,1,14,8,334.03
2010,1,14,9,536.59
2010,1,14,10,690.73
2010,1,14,11,782.52
2010,1,14,12,824.33
2010,1,14,13,776.31
2010,1,14,14,660.34
2010,1,14,15,485.3
2010,1,14,16,269.55
2010,1,14,17,55.16
2010,1,14,18,0
2010,1,14,19,0
2010,1,14,20,0
2010,1,14,21,0
2010,1,14,22,0
2010,1,14,23,0
2010,1,15,0,0
2010,1,15,1,0
2010,1,15,2,0
2010,1,15,3,0
2010,1,15,4,0
2010,1,15,5,0
2010,1,15,6,0
2010,1,15,7,116.23
2010,1,15,8,312.2
2010,1,15,9,499.35
2010,1,15,10,633.66
2010,1,15,11,714.84
2010,1,15,12,783.02
2010,1,15,13,738.16
2010,1,15,14,652.57
2010,1,15,15,468.87
2010,1,15,16,246.65
2010,1,15,17,52.02
2010,1,15,18,0
2010,1,15,19,0
2010,1,15,20,0
2010,1,15,21,0
2010,1,15,22,0
2010,1,15,23,0
2010,1,16,0,0
2010,1,16,1,0
2010,1,16,2,0
2010,1,16,3,0
2010,1,16,4,0
2010,1,16,5,0
2010,1,16,6,0
2010,1,16,7,84.31
2010,1,16,8,217.99
2010,1,16,9,379.88
2010,1,16,10,646.59
2010,1,16,11,714.87
2010,1,16,12,606.45
2010,1,16,13,531.02
2010,1,16,14,436.77
2010,1,16,15,310.35
2010,1,16,16,183.02
2010,1,16,17,49.12
2010,1,16,18,0
2010,1,16,19,0
2010,1,16,20,0
2010,1,16,21,0
2010,1,16,22,0
2010,1,16,23,0
2010,1,17,0,0
2010,1,17,1,0
2010,1,17,2,0
2010,1,17,3,0
2010,1,17,4,0
2010,1,17,5,0
2010,1,17,6,0
2010,1,17,7,133.73
2010,1,17,8,353.21
2010,1,17,9,560.88
2010,1,17,10,717.48
2010,1,17,11,812
2010,1,17,12,830.62
2010,1,17,13,780.41
2010,1,17,14,665.7
2010,1,17,15,484.41
2010,1,17,16,273.07
2010,1,17,17,58.12
2010,1,17,18,0
2010,1,17,19,0
2010,1,17,20,0
2010,1,17,21,0
2010,1,17,22,0
2010,1,17,23,0
2010,1,18,0,0
2010,1,18,1,0
2010,1,18,2,0
2010,1,18,3,0
2010,1,18,4,0
2010,1,18,5,0
2010,1,18,6,0
2010,1,18,7,129.6
2010,1,18,8,353.5
2010,1,18,9,562.43
2010,1,18,10,702.49
2010,1,18,11,820.09
2010,1,18,12,837.52
2010,1,18,13,748.69
2010,1,18,14,602.77
2010,1,18,15,448.64
2010,1,18,16,275.24
2010,1,18,17,61.36
2010,1,18,18,0
2010,1,18,19,0
2010,1,18,20,0
2010,1,18,21,0
2010,1,18,22,0
2010,1,18,23,0
2010,1,19,0,0
2010,1,19,1,0
2010,1,19,2,0
2010,1,19,3,0
2010,1,19,4,0
2010,1,19,5,0
2010,1,19,6,0
2010,1,19,7,136.28
2010,1,19,8,353.07
2010,1,19,9,569.98
2010,1,19,10,703.92
2010,1,19,11,807
2010,1,19,12,812.54
2010,1,19,13,770.21
2010,1,19,14,651.62
2010,1,19,15,425.59
2010,1,19,16,234.54
2010,1,19,17,48.96
2010,1,19,18,0
2010,1,19,19,0
2010,1,19,20,0
2010,1,19,21,0
2010,1,19,22,0
2010,1,19,23,0
2010,1,20,0,0
2010,1,20,1,0
2010,1,20,2,0
2010,1,20,3,0
2010,1,20,4,0
2010,1,20,5,0
2010,1,20,6,0
2010,1,20,7,81.63
2010,1,20,8,236.52
2010,1,20,9,416.97
2010,1,20,10,594.2
2010,1,20,11,549.88
2010,1,20,12,570.09
2010,1,20,13,491.12
2010,1,20,14,383.28
2010,1,20,15,273.05
2010,1,20,16,129.04
2010,1,20,17,29.73
2010,1,20,18,0
2010,1,20,19,0
2010,1,20,20,0
2010,1,20,21,0
2010,1,20,22,0
2010,1,20,23,0
2010,1,21,0,0
2010,1,21,1,0
2010,1,21,2,0
2010,1,21,3,0
2010,1,21,4,0
2010,1,21,5,0
2010,1,21,6,0
2010,1,21,7,37.09
2010,1,21,8,97.3
2010,1,21,9,165.25
2010,1,21,10,193.63
2010,1,21,11,199.69
2010,1,21,12,215.16
2010,1,21,13,183.25
2010,1,21,14,145.27
2010,1,21,15,101.8
2010,1,21,16,87.19
2010,1,21,17,22.99
2010,1,21,18,0
2010,1,21,19,0
2010,1,21,20,0
2010,1,21,21,0
2010,1,21,22,0
2010,1,21,23,0
2010,1,22,0,0
2010,1,22,1,0
2010,1,22,2,0
2010,1,22,3,0
2010,1,22,4,0
2010,1,22,5,0
2010,1,22,6,0
2010,1,22,7,48.48
2010,1,22,8,124.18
2010,1,22,9,193.22
2010,1,22,10,269.45
2010,1,22,11,325.13
2010,1,22,12,413.66
2010,1,22,13,448.48
2010,1,22,14,318.36
2010,1,22,15,229.65
2010,1,22,16,120.63
2010,1,22,17,25.21
2010,1,22,18,0
2010,1,22,19,0
2010,1,22,20,0
2010,1,22,21,0
2010,1,22,22,0
2010,1,22,23,0
2010,1,23,0,0
2010,1,23,1,0
2010,1,23,2,0
2010,1,23,3,0
2010,1,23,4,0
2010,1,23,5,0
2010,1,23,6,0
2010,1,23,7,75.73
2010,1,23,8,133.53
2010,1,23,9,244.76
2010,1,23,10,397.32
2010,1,23,11,447.08
2010,1,23,12,454.8
2010,1,23,13,411.6
2010,1,23,14,383.57
2010,1,23,15,331.05
2010,1,23,16,182.13
2010,1,23,17,48.73
2010,1,23,18,0
2010,1,23,19,0
2010,1,23,20,0
2010,1,23,21,0
2010,1,23,22,0
2010,1,23,23,0
2010,1,24,0,0
2010,1,24,1,0
2010,1,24,2,0
2010,1,24,3,0
2010,1,24,4,0
2010,1,24,5,0
2010,1,24,6,0
2010,1,24,7,69.79
2010,1,24,8,172.51
2010,1,24,9,279.96
2010,1,24,10,348.52
2010,1,24,11,437.05
2010,1,24,12,520.77
2010,1,24,13,424.1
2010,1,24,14,400.62
2010,1,24,15,417.8
2010,1,24,16,257.38
2010,1,24,17,56.05
2010,1,24,18,0
2010,1,24,19,0
2010,1,24,20,0
2010,1,24,21,0
2010,1,24,22,0
2010,1,24,23,0
2010,1,25,0,0
2010,1,25,1,0
2010,1,25,2,0
2010,1,25,3,0
2010,1,25,4,0
2010,1,25,5,0
2010,1,25,6,0
2010,1,25,7,121.5
2010,1,25,8,323.05
2010,1,25,9,522.73
2010,1,25,10,692.32
2010,1,25,11,785.11
2010,1,25,12,824.49
2010,1,25,13,700.39
2010,1,25,14,584.55
2010,1,25,15,444.58
2010,1,25,16,271.99
2010,1,25,17,64.98
2010,1,25,18,0
2010,1,25,19,0
2010,1,25,20,0
2010,1,25,21,0
2010,1,25,22,0
2010,1,25,23,0
2010,1,26,0,0
2010,1,26,1,0
2010,1,26,2,0
2010,1,26,3,0
2010,1,26,4,0
2010,1,26,5,0
2010,1,26,6,0
2010,1,26,7,117.95
2010,1,26,8,332.34
2010,1,26,9,553.02
2010,1,26,10,711.02
2010,1,26,11,808.03
2010,1,26,12,859.47
2010,1,26,13,806.35
2010,1,26,14,694.29
2010,1,26,15,504.66
2010,1,26,16,285.36
2010,1,26,17,70.52
2010,1,26,18,0
2010,1,26,19,0
2010,1,26,20,0
2010,1,26,21,0
2010,1,26,22,0
2010,1,26,23,0
2010,1,27,0,0
2010,1,27,1,0
2010,1,27,2,0
2010,1,27,3,0
2010,1,27,4,0
2010,1,27,5,0
2010,1,27,6,0
2010,1,27,7,131.57
2010,1,27,8,347.73
2010,1,27,9,559.38
2010,1,27,10,713.3
2010,1,27,11,815.58
2010,1,27,12,836.53
2010,1,27,13,785.77
