YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,8,17,13,521.12
2010,8,17,14,454.06
2010,8,17,15,185.66
2010,8,17,16,103.41
2010,8,17,17,31.66
2010,8,17,18,4.49
2010,8,17,19,0
2010,8,17,20,0
2010,8,17,21,0
2010,8,17,22,0
2010,8,17,23,0
2010,8,18,0,0
2010,8,18,1,0
2010,8,18,2,0
2010,8,18,3,0
2010,8,18,4,0
2010,8,18,5,0
2010,8,18,6,35.25
2010,8,18,7,182.7
2010,8,18,8,376.66
2010,8,18,9,526.2
2010,8,18,10,541.72
2010,8,18,11,579.38
2010,8,18,12,360.14
2010,8,18,13,284.56
2010,8,18,14,481.14
2010,8,18,15,450.22
2010,8,18,16,304.18
2010,8,18,17,104.81
2010,8,18,18,13.88
2010,8,18,19,0
2010,8,18,20,0
2010,8,18,21,0
2010,8,18,22,0
2010,8,18,23,0
2010,8,19,0,0
2010,8,19,1,0
2010,8,19,2,0
2010,8,19,3,0
2010,8,19,4,0
2010,8,19,5,0
2010,8,19,6,44.8
2010,8,19,7,230.88
2010,8,19,8,444.88
2010,8,19,9,616.31
2010,8,19,10,665.15
2010,8,19,11,751.99
2010,8,19,12,782.35
2010,8,19,13,647.47
2010,8,19,14,474.66
2010,8,19,15,357.09
2010,8,19,16,258.38
2010,8,19,17,83.32
2010,8,19,18,8.13
2010,8,19,19,0
2010,8,19,20,0
2010,8,19,21,0
2010,8,19,22,0
2010,8,19,23,0
2010,8,20,0,0
2010,8,20,1,0
2010,8,20,2,0
2010,8,20,3,0
2010,8,20,4,0
2010,8,20,5,0
2010,8,20,6,17.13
2010,8,20,7,194.49
2010,8,20,8,390.7
2010,8,20,9,582.77
2010,8,20,10,678.61
2010,8,20,11,803.26
2010,8,20,12,639.73
2010,8,20,13,486.02
2010,8,20,14,426.02
2010,8,20,15,314.14
2010,8,20,16,185.81
2010,8,20,17,53.31
2010,8,20,18,10.23
2010,8,20,19,0
2010,8,20,20,0
2010,8,20,21,0
2010,8,20,22,0
2010,8,20,23,0
2010,8,21,0,0
2010,8,21,1,0
2010,8,21,2,0
2010,8,21,3,0
2010,8,21,4,0
2010,8,21,5,0
2010,8,21,6,29.75
2010,8,21,7,134.84
2010,8,21,8,256.86
2010,8,21,9,407.2
2010,8,21,10,446.55
2010,8,21,11,427.52
2010,8,21,12,593.23
2010,8,21,13,451.44
2010,8,21,14,296.14
2010,8,21,15,220.44
2010,8,21,16,140.77
2010,8,21,17,42.1
2010,8,21,18,8.72
2010,8,21,19,0
2010,8,21,20,0
2010,8,21,21,0
2010,8,21,22,0
2010,8,21,23,0
2010,8,22,0,0
2010,8,22,1,0
2010,8,22,2,0
2010,8,22,3,0
2010,8,22,4,0
2010,8,22,5,0
2010,8,22,6,42.09
2010,8,22,7,189.53
2010,8,22,8,401.52
2010,8,22,9,617.64
2010,8,22,10,586.14
2010,8,22,11,576.36
2010,8,22,12,615.75
2010,8,22,13,579.81
2010,8,22,14,595.41
2010,8,22,15,370.6
2010,8,22,16,224.55
2010,8,22,17,76.28
2010,8,22,18,8.66
2010,8,22,19,0
2010,8,22,20,0
2010,8,22,21,0
2010,8,22,22,0
2010,8,22,23,0
2010,8,23,0,0
2010,8,23,1,0
2010,8,23,2,0
2010,8,23,3,0
2010,8,23,4,0
2010,8,23,5,0
2010,8,23,6,33.33
2010,8,23,7,165.43
2010,8,23,8,324.08
2010,8,23,9,486.65
2010,8,23,10,607.09
2010,8,23,11,554.57
2010,8,23,12,494.84
2010,8,23,13,393.18
2010,8,23,14,322.68
2010,8,23,15,227.3
2010,8,23,16,157.34
2010,8,23,17,54.63
2010,8,23,18,9.51
2010,8,23,19,0
2010,8,23,20,0
2010,8,23,21,0
2010,8,23,22,0
2010,8,23,23,0
2010,8,24,0,0
2010,8,24,1,0
2010,8,24,2,0
2010,8,24,3,0
2010,8,24,4,0
2010,8,24,5,0
2010,8,24,6,38.95
2010,8,24,7,127.8
2010,8,24,8,240.34
2010,8,24,9,413.56
2010,8,24,10,553.6
2010,8,24,11,501.42
2010,8,24,12,585.06
2010,8,24,13,558.73
2010,8,24,14,470.74
2010,8,24,15,111.05
2010,8,24,16,54.24
2010,8,24,17,18.84
2010,8,24,18,3.62
2010,8,24,19,0
2010,8,24,20,0
2010,8,24,21,0
2010,8,24,22,0
2010,8,24,23,0
2010,8,25,0,0
2010,8,25,1,0
2010,8,25,2,0
2010,8,25,3,0
2010,8,25,4,0
2010,8,25,5,0
2010,8,25,6,32
2010,8,25,7,162.08
2010,8,25,8,324.44
2010,8,25,9,524.42
2010,8,25,10,652.25
2010,8,25,11,655.45
2010,8,25,12,590.81
2010,8,25,13,581.28
2010,8,25,14,504.07
2010,8,25,15,390.95
2010,8,25,16,226.22
2010,8,25,17,62.25
2010,8,25,18,8.8
2010,8,25,19,0
2010,8,25,20,0
2010,8,25,21,0
2010,8,25,22,0
2010,8,25,23,0
2010,8,26,0,0
2010,8,26,1,0
2010,8,26,2,0
2010,8,26,3,0
2010,8,26,4,0
2010,8,26,5,0
2010,8,26,6,47.58
2010,8,26,7,216.22
2010,8,26,8,379.55
2010,8,26,9,593.66
2010,8,26,10,616.66
2010,8,26,11,727.11
2010,8,26,12,730.48
2010,8,26,13,771.2
2010,8,26,14,655.74
2010,8,26,15,521.02
2010,8,26,16,364.07
2010,8,26,17,140.74
2010,8,26,18,10.25
2010,8,26,19,0
2010,8,26,20,0
2010,8,26,21,0
2010,8,26,22,0
2010,8,26,23,0
2010,8,27,0,0
2010,8,27,1,0
2010,8,27,2,0
2010,8,27,3,0
2010,8,27,4,0
2010,8,27,5,0
2010,8,27,6,40.02
2010,8,27,7,213.12
2010,8,27,8,425.6
2010,8,27,9,546.45
2010,8,27,10,693.17
2010,8,27,11,671.86
2010,8,27,12,796
2010,8,27,13,759.39
2010,8,27,14,641.79
2010,8,27,15,455.83
2010,8,27,16,274.2
2010,8,27,17,99.38
2010,8,27,18,8.3
2010,8,27,19,0
2010,8,27,20,0
2010,8,27,21,0
2010,8,27,22,0
2010,8,27,23,0
2010,8,28,0,0
2010,8,28,1,0
2010,8,28,2,0
2010,8,28,3,0
2010,8,28,4,0
2010,8,28,5,0
2010,8,28,6,20.43
2010,8,28,7,85.87
2010,8,28,8,162.76
2010,8,28,9,272.38
