YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,8,17,13,546.87
2010,8,17,14,495.49
2010,8,17,15,397.9
2010,8,17,16,214.46
2010,8,17,17,82.94
2010,8,17,18,10.23
2010,8,17,19,0
2010,8,17,20,0
2010,8,17,21,0
2010,8,17,22,0
2010,8,17,23,0
2010,8,18,0,0
2010,8,18,1,0
2010,8,18,2,0
2010,8,18,3,0
2010,8,18,4,0
2010,8,18,5,0
2010,8,18,6,34.28
2010,8,18,7,183.19
2010,8,18,8,348.98
2010,8,18,9,540.09
2010,8,18,10,702.94
2010,8,18,11,656.07
2010,8,18,12,672.91
2010,8,18,13,717.02
2010,8,18,14,605.6
2010,8,18,15,513.34
2010,8,18,16,301.14
2010,8,18,17,112.21
2010,8,18,18,10.55
2010,8,18,19,0
2010,8,18,20,0
2010,8,18,21,0
2010,8,18,22,0
2010,8,18,23,0
2010,8,19,0,0
2010,8,19,1,0
2010,8,19,2,0
2010,8,19,3,0
2010,8,19,4,0
2010,8,19,5,0
2010,8,19,6,58.98
2010,8,19,7,243.96
2010,8,19,8,479.22
2010,8,19,9,686.01
2010,8,19,10,811.34
2010,8,19,11,898.06
2010,8,19,12,907.53
2010,8,19,13,831.29
2010,8,19,14,700.3
2010,8,19,15,486.85
2010,8,19,16,288.29
2010,8,19,17,128.14
2010,8,19,18,12.29
2010,8,19,19,0
2010,8,19,20,0
2010,8,19,21,0
2010,8,19,22,0
2010,8,19,23,0
2010,8,20,0,0
2010,8,20,1,0
2010,8,20,2,0
2010,8,20,3,0
2010,8,20,4,0
2010,8,20,5,0
2010,8,20,6,46.43
2010,8,20,7,194.98
2010,8,20,8,382.71
2010,8,20,9,577.85
2010,8,20,10,696.68
2010,8,20,11,798.02
2010,8,20,12,781.91
2010,8,20,13,715.16
2010,8,20,14,610.54
2010,8,20,15,400.69
2010,8,20,16,254.05
2010,8,20,17,101.3
2010,8,20,18,7.82
2010,8,20,19,0
2010,8,20,20,0
2010,8,20,21,0
2010,8,20,22,0
2010,8,20,23,0
2010,8,21,0,0
2010,8,21,1,0
2010,8,21,2,0
2010,8,21,3,0
2010,8,21,4,0
2010,8,21,5,0
2010,8,21,6,4.27
2010,8,21,7,45.4
2010,8,21,8,56.93
2010,8,21,9,92.88
2010,8,21,10,150.3
2010,8,21,11,216.06
2010,8,21,12,249.02
2010,8,21,13,257.02
2010,8,21,14,227.31
2010,8,21,15,232.72
2010,8,21,16,144
2010,8,21,17,53.47
2010,8,21,18,7.05
2010,8,21,19,0
2010,8,21,20,0
2010,8,21,21,0
2010,8,21,22,0
2010,8,21,23,0
2010,8,22,0,0
